State,Year,Median Monthly Owner Costs (Mortgage),Median Gross Rent,Median Income
California,2018,2345,1520,75277
Colorado,2018,1741,1289,71953
Delaware,2018,1566,1108,64805
District of Columbia,2018,2506,1516,85203
Connecticut,2018,2056,1171,76348
Florida,2018,1471,1182,55462
Georgia,2018,1395,1008,58756
Idaho,2018,1249,848,55583
Hawaii,2018,2354,1613,80212
Illinois,2018,1665,995,65030
Indiana,2018,1118,820,55746
Iowa,2018,1234,777,59955
Kansas,2018,1364,840,58218
Kentucky,2018,1164,779,50247
Louisiana,2018,1254,854,47905
Maine,2018,1349,839,55602
Maryland,2018,1955,1371,83242
Massachusetts,2018,2207,1295,79835
Michigan,2018,1270,861,56697
Minnesota,2018,1559,969,70315
Mississippi,2019,1149,777,45792
Missouri,2019,1271,834,57409
Montana,2019,1466,831,57153
Nebraska,2019,1427,859,63229
Nevada,2019,1589,1168,63276
New Hampshire,2019,1963,1147,77933
New Jersey,2019,2413,1376,85751
New Mexico,2019,1269,847,51945
New York,2019,2156,1309,72108
North Carolina,2019,1318,931,57341
North Dakota,2019,1430,804,64577
Ohio,2019,1250,813,58642
Oklahoma,2019,1231,814,54449
Oregon,2019,1750,1185,67058
Pennsylvania,2019,1477,951,63463
Rhode Island,2019,1837,1043,71169
South Carolina,2019,1250,922,56227
South Dakota,2019,1371,769,59533
Tennessee,2019,1264,904,56071
Texas,2019,1675,1091,64034
Vermont,2019,1606,980,63001
Utah,2019,1605,1098,75780
Virginia,2019,1792,1254,76456
Washington,2019,1951,1359,78687
West Virginia,2019,1052,727,48850
Wisconsin,2019,1412,867,64168
Wyoming,2019,1417,822,65003
Puerto Rico,2019,828,482,20474
Georgia,2019,1450,1049,61980
Idaho,2019,1306,880,60999
Hawaii,2019,2472,1651,83102
Illinois,2019,1688,1020,69187
Indiana,2019,1146,840,57603
Iowa,2019,1266,808,61691
Kansas,2019,1387,862,62087
Kentucky,2019,1179,773,52295
Louisiana,2019,1279,866,51073
Maine,2019,1387,870,58924
Maryland,2019,2015,1401,86738
Massachusetts,2019,2276,1360,85843
Michigan,2019,1285,888,59584
Minnesota,2019,1595,1016,74593
Connecticut,2019,2087,1177,78833
Florida,2019,1530,1238,59227
Alabama,2019,1172,807,51734
Alaska,2019,1882,1201,75463
Arizona,2019,1457,1101,62055
Arkansas,2019,1094,742,48952
California,2019,2421,1614,80440
Colorado,2019,1845,1369,77127
Delaware,2019,1557,1116,70176
District of Columbia,2019,2684,1603,92266
Alabama,2021,1223,861,53913
Puerto Rico,2021,823,504,22237
