State,Year,Median Monthly Owner Costs (Mortgage),Median Gross Rent,Median Income,Mortgage/Income (%),Rent/Income (%)
Virginia,2017,1718,1179,71535,28.82,19.78
Washington,2017,1806,1216,70979,30.53,20.56
West Virginia,2017,984,690,43469,27.16,19.05
Wisconsin,2017,1358,819,59305,27.48,16.57
Wyoming,2017,1386,832,60434,27.52,16.52
Puerto Rico,2017,828,453,19343,51.37,28.1
Alabama,2017,1123,750,48123,28.0,18.7
Alaska,2017,1844,1201,73181,30.24,19.69
Arizona,2017,1365,1020,56581,28.95,21.63
Arkansas,2017,1025,711,45869,26.82,18.6
California,2017,2269,1447,71805,37.92,24.18
Colorado,2017,1681,1240,69117,29.19,21.53
Delaware,2017,1507,1086,62852,28.77,20.73
District of Columbia,2017,2432,1499,82372,35.43,21.84
Connecticut,2017,1976,1125,74168,31.97,18.2
Florida,2017,1423,1128,52594,32.47,25.74
Georgia,2017,1341,958,56183,28.64,20.46
Idaho,2017,1213,822,52225,27.87,18.89
Hawaii,2017,2337,1573,77765,36.06,24.27
Illinois,2017,1603,974,62992,30.54,18.55
Indiana,2017,1089,793,54181,24.12,17.56
Iowa,2017,1205,760,58570,24.69,15.57
Kansas,2017,1314,815,56422,27.95,17.33
Kentucky,2017,1123,724,48375,27.86,17.96
Louisiana,2017,1233,836,46145,32.06,21.74
Maine,2017,1313,806,56277,28.0,17.19
Maryland,2017,1915,1337,80776,28.45,19.86
Massachusetts,2017,2108,1208,77385,32.69,18.73
Michigan,2017,1231,835,54909,26.9,18.25
Minnesota,2017,1500,939,68388,26.32,16.48
Wisconsin,2018,1387,847,60773,27.39,16.72
Wyoming,2018,1440,818,61584,28.06,15.94
Puerto Rico,2018,851,484,20296,50.32,28.62
Mississippi,2018,1132,777,44717,30.38,20.85
Missouri,2018,1249,830,54478,27.51,18.28
Montana,2018,1413,811,55328,30.65,17.59
Nebraska,2018,1353,830,59566,27.26,16.72
Nevada,2018,1528,1108,58646,31.27,22.67
New Hampshire,2018,1892,1090,74991,30.28,17.44
New Jersey,2018,2398,1336,81740,35.2,19.61
New Mexico,2018,1234,830,47169,31.39,21.12
New York,2018,2098,1274,67844,37.11,22.53
North Carolina,2018,1284,900,53855,28.61,20.05
North Dakota,2018,1425,808,63837,26.79,15.19
Ohio,2018,1248,797,56111,26.69,17.04
Oklahoma,2018,1214,808,51924,28.06,18.67
Oregon,2018,1690,1130,63426,31.97,21.38
Pennsylvania,2018,1451,927,60905,28.59,18.26
Rhode Island,2018,1830,998,64340,34.13,18.61
South Carolina,2018,1225,892,52306,28.1,20.46
South Dakota,2018,1301,734,56274,27.74,15.65
Tennessee,2018,1228,861,52375,28.14,19.73
Texas,2018,1603,1046,60629,31.73,20.7
Vermont,2018,1560,969,60782,30.8,19.13
Utah,2018,1531,1043,71414,25.73,17.53
Virginia,2018,1752,1215,72577,28.97,20.09
Washington,2018,1883,1316,74073,30.51,21.32
